3PM,APG,BPG,FGP,FTP,MPG,PPG,RPG,SPG,TPG,NAME
0.6,0.8,0.4,40.5,57.1,19.1,4.8,3.4,0.4,0.8,Torrey Craig
0.9,3.4,0.1,35.6,82.6,17.1,6.7,1.3,0.4,1.4,Jamal Crawford
2.1,1.7,0.4,40.9,75.3,27.8,12.2,4.9,0.7,0.9,Jae Crowder
0.8,1.1,0.4,47.7,83.3,20.7,4.3,4.5,0.6,0.5,Dante Cunningham
1.0,0.8,0.1,39.3,100,16.6,4.6,1.4,0.2,0.8,Seth Curry
5.0,5.3,0.3,50.1,94.9,33.8,29,5.1,1.3,3.1,Stephen Curry
1.6,0.6,0.1,40.8,87.5,15.0,6.6,1.4,0.6,0.9,Troy Daniels
1.0,4.7,2.8,50.4,81.1,36.8,28,12.3,1.8,2.3,Anthony Davis
0.0,0.7,0.4,59.8,60.8,17.6,5.6,8.3,0.4,0.8,Ed Davis
0.8,1.1,1,46.4,86.5,23.6,8.7,7.2,1.1,1.2,Dewayne Dedmon
2.0,4.8,0,57.1,87.5,19.8,11.2,2.2,0.5,1.5,Matthew Dellavedova
0.2,6.2,0.4,47.8,84.5,34.8,23,5.6,0.9,2.4,DeMar DeRozan
2.0,5.1,0.3,47.5,78.2,28.9,17.4,2.6,0.6,2.2,Spencer Dinwiddie
0.8,1.2,0.2,39.3,81.8,16.7,5.2,2.7,0.6,0.8,Donte DiVincenzo
2.2,4.9,0.3,43.4,76.6,32.4,18.8,6.6,1.2,3.5,Luka Doncic
1.5,1,0.2,46.4,69.6,25.8,10.8,3.9,0.9,0.8,Damyean Dotson
1.6,4.9,0.3,41,76,29.1,15.3,3.1,0.7,2.5,Goran Dragic
0.1,1.2,1.8,50.2,52.1,33.5,17.9,15.5,1.4,2.5,Andre Drummond
0.9,1.5,0.3,42.3,66.7,21.4,5.2,2.9,0.6,0.8,Jared Dudley
0.4,5.4,0,47.1,80,29.6,13.6,4.6,1.1,2.9,Kris Dunn
1.7,6.1,1,50.7,93.1,35.6,28.8,7.5,0.9,3.5,Kevin Durant
0.4,1.6,0.2,36.1,69.2,16.8,9.2,1.8,0.6,2.4,Trevon Duval
2.4,1.4,0.2,35.8,84.6,23.6,8.7,2.2,1.1,0.7,Wayne Ellington
1.1,3.6,1.8,47.5,79.5,33.8,26.3,13.2,0.5,3.3,Joel Embiid
1.3,0.6,0.4,48.9,71,25.1,8,2.7,0.9,0.6,James Ennis III
1.2,2.4,0.3,36.3,78.6,21.3,10.2,3,1.2,2,Tyreke Evans
0.4,2.1,0.1,40.5,75.7,15.9,6.6,1.6,0.4,1.2,Dante Exum
0.3,0.9,1.2,60.8,63.8,23.0,11.1,7,0.8,1.3,Derrick Favors
0.8,0.7,0.2,38.7,66.7,21.5,4.6,1.9,0.5,0.6,Terrance Ferguson
1.2,0.7,0.5,46.6,66,26.1,8.3,4.4,1.1,0.9,Dorian Finney-Smith
2.0,2.3,0.1,46.3,86.1,26.8,12.1,2.4,0.6,1.2,Bryn Forbes
2.0,3.7,0.2,42.1,76.6,30.4,15.4,3,0.9,2.1,Evan Fournier
1.3,7.4,0.6,48.1,72.3,31.7,18.2,3.5,1.5,3.2,De'Aaron Fox
0.7,4.6,0,43,76.5,20.0,4.4,2.7,0.6,1.4,Tim Frazier
0.2,3.1,0.3,41.9,56.8,22.4,8.2,3.7,0.9,1.3,Markelle Fultz
2.4,2.3,0.3,45,92.1,31.7,19.5,6,0.7,1.4,Danilo Gallinari
1.7,1.3,0.1,38.8,76.3,24.9,8.9,2.6,0.4,0.5,Langston Galloway
