3PM,APG,BPG,FGP,FTP,MPG,PPG,RPG,SPG,TPG,NAME
1.5,4.5,0.2,41.9,77.5,25.5,9.9,2.5,1,1.3,Fred VanVleet
0.8,2.3,0.9,46.9,70.7,26.6,8.2,8.3,0.7,1.3,Noah Vonleh
1.2,3.7,1.1,53,84.3,31.0,20.5,12,1,2,Nikola Vucevic
1.5,3.7,0.6,40.8,69.3,25.5,14.5,3.5,0.6,2.4,Dwyane Wade
3.2,6.3,0.4,42.3,82.8,34.7,25,4.4,1.4,2.6,Kemba Walker
1.6,8.9,0.9,44.7,68.8,34.6,21.2,3.5,1.6,3.6,John Wall
1.8,1.3,0.8,51.1,87.1,29.9,18.5,4.1,1,1.1,T.J. Warren
1.2,10.4,0.2,43.3,60.2,34.0,20.6,10.7,2.7,4.4,Russell Westbrook
0.4,3.5,0.2,41,78.9,21.2,5.9,2.7,0.8,1.5,Derrick White
0.1,0.9,2.8,52.5,46,26.4,13.2,13.5,0.6,1.7,Hassan Whiteside
1.7,2.1,0.5,39.8,76.8,32.9,16.3,4.1,1.3,1.7,Andrew Wiggins
1.2,4.6,0.1,40.9,92.4,25.1,17.5,2.5,0.6,2.4,Lou Williams
1.9,1.1,0.7,43.9,65.7,26.2,9.7,5.5,0.8,0.5,Marvin Williams
0.8,0.6,0.4,46,60,15.9,5.7,3.1,0.6,0.4,Troy Williams
1.2,0.6,0.6,58.3,50,16.2,7.2,3.8,0.4,0.4,D.J. Wilson
1.2,3.4,0.4,39,67.2,28.1,10.5,5.1,0.9,2.1,Justise Winslow
0.7,1.9,0.3,42.9,100,17.8,6.2,2.6,0.7,0.8,Delon Wright
0.4,1.7,0.5,50.8,60.9,29.8,11.9,5.8,1.5,1.2,Thaddeus Young
1.3,7.2,0.3,38.3,78.5,29.2,15.5,2.7,0.7,3.9,Trae Young
0.1,2,0.8,58.9,86.7,24.7,9.4,6,0.8,1.2,Cody Zeller
